WEATHER,LOCATION,DATE,TAVG,TMAX,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/2/2000,55,63,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/3/2000,60,75,44
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/4/2000,63,76,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/5/2000,72,83,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/6/2000,73,85,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/7/2000,74,86,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/8/2000,75,86,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/9/2000,76,82,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/10/2000,63,74,51
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/11/2000,60,73,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/12/2000,72,86,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/13/2000,68,79,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/14/2000,56,64,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/15/2000,54,63,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/16/2000,54,68,40
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/17/2000,65,77,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/18/2000,75,84,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/19/2000,69,78,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/20/2000,58,63,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/21/2000,59,66,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/22/2000,64,72,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/23/2000,62,68,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/24/2000,68,78,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/25/2000,65,72,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/26/2000,63,73,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/27/2000,58,61,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/28/2000,55,57,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/29/2000,60,67,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/30/2000,60,71,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",5/31/2000,68,83,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/1/2000,77,85,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/2/2000,72,86,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/3/2000,59,67,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/4/2000,61,73,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/5/2000,63,69,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/6/2000,55,58,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/7/2000,61,74,48
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/8/2000,68,79,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/9/2000,74,85,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/10/2000,77,87,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/11/2000,78,88,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/12/2000,74,81,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/13/2000,77,85,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/14/2000,78,88,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/15/2000,74,80,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/16/2000,77,85,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/17/2000,71,76,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/18/2000,66,76,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/19/2000,64,75,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/20/2000,70,83,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/21/2000,75,82,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/22/2000,75,82,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/23/2000,72,80,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/24/2000,74,87,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/25/2000,76,80,71
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/26/2000,77,85,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/27/2000,71,77,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/28/2000,69,76,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/29/2000,66,75,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/30/2000,66,76,55
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/1/2000,68,80,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/2/2000,69,82,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/3/2000,68,71,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/4/2000,75,82,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/5/2000,71,81,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/6/2000,69,79,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/7/2000,67,76,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/8/2000,67,79,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/9/2000,72,86,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/10/2000,74,82,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/11/2000,74,81,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/12/2000,70,79,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/13/2000,74,83,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/14/2000,72,83,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/15/2000,67,74,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/16/2000,66,72,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/24/2000,65,73,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/25/2000,68,78,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/26/2000,69,77,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/27/2000,71,82,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/28/2000,74,83,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/29/2000,69,74,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/30/2000,73,85,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/31/2000,76,83,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/1/2000,75,83,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/2/2000,76,84,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/3/2000,72,78,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/4/2000,68,75,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/5/2000,65,76,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/6/2000,71,82,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/7/2000,76,83,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/8/2000,75,81,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/9/2000,72,75,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/10/2000,74,81,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/11/2000,71,78,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/12/2000,68,76,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/13/2000,67,76,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/14/2000,70,79,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/15/2000,74,83,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/16/2000,69,77,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/17/2000,59,62,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/18/2000,63,69,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/19/2000,66,74,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/20/2000,63,72,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/21/2000,64,77,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/22/2000,70,82,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/23/2000,72,75,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/24/2000,72,79,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/25/2000,69,79,58
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/26/2000,68,79,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/27/2000,68,73,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/28/2000,70,78,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/29/2000,71,79,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/30/2000,73,81,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/31/2000,73,81,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/1/2000,78,87,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/2/2000,79,87,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/3/2000,75,84,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/4/2000,69,79,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/5/2000,59,68,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/6/2000,59,73,45
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/7/2000,62,75,49
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/8/2000,68,79,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/9/2000,72,80,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/10/2000,76,87,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/11/2000,76,83,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/12/2000,74,82,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/13/2000,66,74,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/14/2000,65,76,53
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/15/2000,57,63,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/16/2000,62,78,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/17/2000,56,69,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/18/2000,62,74,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/19/2000,64,69,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/20/2000,71,83,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/21/2000,58,63,52
