WEATHER,LOCATION,DATE,TMAX,TAVG,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/25/2010,,81,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/26/2010,,84,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/27/2010,,89,72
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/28/2010,,81,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/29/2010,,73,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",6/30/2010,,73,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/1/2010,,73,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/2/2010,,77,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/3/2010,,84,56
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/4/2010,,88,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/5/2010,,92,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/6/2010,,93,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/7/2010,,92,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/8/2010,,93,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/9/2010,,86,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/10/2010,,83,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/11/2010,,86,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/12/2010,,83,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/13/2010,,80,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/14/2010,,84,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/15/2010,,87,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/16/2010,,85,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/17/2010,,87,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/18/2010,,88,72
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/19/2010,,84,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/20/2010,,82,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/21/2010,,86,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/22/2010,,87,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/23/2010,,92,74
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/24/2010,,93,71
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/25/2010,,82,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/26/2010,,83,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/27/2010,,86,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/28/2010,,89,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/29/2010,,82,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/30/2010,,81,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",7/31/2010,,81,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/1/2010,,82,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/2/2010,,87,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/3/2010,,78,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/4/2010,,89,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/5/2010,,85,68
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/6/2010,,78,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/7/2010,,81,61
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/8/2010,,85,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/9/2010,,89,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/10/2010,,91,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/11/2010,,92,71
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/12/2010,,85,71
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/13/2010,,86,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/14/2010,,89,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/15/2010,,87,72
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/16/2010,,85,70
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/17/2010,,84,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/18/2010,,83,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/19/2010,,87,63
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/20/2010,,90,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/21/2010,,90,67
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/22/2010,,81,69
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/23/2010,,76,64
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/24/2010,,73,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/25/2010,,77,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/26/2010,,77,59
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/27/2010,,79,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/28/2010,,85,54
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/29/2010,,90,60
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/30/2010,,91,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",8/31/2010,,93,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/1/2010,,91,65
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/2/2010,,94,66
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/3/2010,,90,62
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/4/2010,,71,57
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",9/5/2010,,71,49
